Poids;Nom;%N;%C
1,691;1,000;6,769;37,180
0,697;2,000;6,728;37,250
0,845;3,000;6,666;37,300
0,938;4,000;6,794;37,564
1,085;5,000;6,572;37,511
1,542;6,000;6,735;37,396
1,100;7,000;6,779;37,546
1,199;8,000;6,695;37,160
0,824;9,000;6,796;37,700
1,515;10,000;6,649;37,539
1,064;11,000;6,570;37,338
1,279;12,000;6,657;37,681
1,261;21,000;7,150;37,789
1,529;22,000;6,979;37,948
0,736;23,000;7,009;37,456
1,391;24,000;7,230;38,243
1,035;25,000;7,319;38,265
0,875;26,000;7,231;37,427
1,146;27,000;8,166;42,892
0,720;28,000;6,995;36,126
0,792;29,000;7,105;38,016
1,034;30,000;7,191;38,259
0,691;31,000;7,242;37,960
1,080;32,000;7,128;38,260
1,060;41,000;6,737;37,987
1,044;42,000;6,671;37,625
0,738;43,000;6,805;38,276
0,951;44,000;6,844;38,463
1,081;45,000;6,774;37,851
0,824;46,000;6,773;38,467
1,087;47,000;6,651;38,153
1,196;48,000;6,422;39,165
1,379;49,000;6,749;38,350
1,049;50,000;6,619;37,589
1,160;51,000;6,694;38,171
1,859;52,000;6,634;37,813
1,067;61,000;6,885;38,408
1,414;62,000;6,930;38,353
0,970;63,000;6,961;37,791
1,384;64,000;7,103;37,759
0,861;65,000;7,079;38,462
0,814;66,000;7,066;37,758
0,651;67,000;6,808;37,541
1,288;68,000;7,206;38,217
1,494;69,000;7,016;38,302
0,992;70,000;7,164;37,558
1,006;71,000;6,998;38,414
1,636;72,000;6,987;37,894
1,152;81,000;6,318;37,295
1,339;82,000;6,290;37,017
1,172;83,000;6,382;36,782
1,466;84,000;6,330;37,416
0,667;85,000;6,391;37,016
1,099;86,000;6,318;37,049
0,740;87,000;6,366;36,595
1,012;88,000;6,262;37,312
0,617;89,000;6,262;37,466
1,013;90,000;6,185;36,974
0,933;91,000;6,300;37,022
1,087;92,000;6,296;36,855
1,294;101,000;6,130;39,461
0,740;102,000;6,231;39,854
1,387;103,000;6,269;39,966
1,202;104,000;6,282;39,763
0,816;105,000;6,385;39,785
1,276;106,000;6,073;39,714
0,974;107,000;5,926;41,096
0,994;108,000;6,158;40,876
1,049;109,000;6,104;40,882
0,570;110,000;6,284;40,669
1,023;111,000;6,243;38,464
1,418;121,000;3,400;19,382
0,985;122,000;6,303;35,944
0,555;123,000;6,434;37,047
0,562;124,000;6,308;37,444
1,035;125,000;6,334;36,116
1,273;126,000;6,422;37,416
0,764;127,000;6,426;37,785
0,993;128,000;6,191;37,042
1,321;129,000;6,235;36,655
1,39;130;6,21;36,59
1,313;131;6,36;36,53
0,222;132;NA;NA
2,38;141;3,19;19,48
1,409;142;8,83;53,82
1,683;143;4,33;27,10
1,689;144;6,10;38,93
0,803;145;6,08;38,69
1,716;146;5,65;39,70
0,674;147;5,81;39,8970
0,91;148;5,54;40,44
0,755;149;5,55;40,10
0,956;150;5,71;39,90
1,068;151;5,56;39,63
0,731;161;6,32;37,36
0,912;162;6,43;36,35
0,843;163;6,38;38,02
0,687;164;6,20;38,50
1,101;165;5,97;39,09
0,877;166;6,37;37,75
0,996;167;6,22;37,76
0,537;168;6,24;37,84
1,306;169;6,22;37,50
1,926;170;6,13;37,15
1,249;171;6,08;37,30
1,3;172;5,92;37,73
0,648;181;6,00;40,09
0,702;182;6,13;40,49
1,032;183;5,96;39,74
0,595;184;6,19;40,15
0,623;185;5,7830;40,7910
2,495;186;6,0010;40,3800
0,922;187;5,8250;40,4550
1,753;188;5,8630;39,0460
1,358;189;6,0600;39,3330
1,177;190;5,7260;40,3400
1,089;191;6,0170;38,8030
0,524;192;6,0930;38,7370