Tube;Tissue;RNA;N;CO2
1;Shoot;0;KNO3;400
2;Shoot;0;KNO3;400
3;Shoot;0;KNO3;400
4;Shoot;0;KNO3;400
5;Shoot;0;KNO3;400
6;Shoot;0;KNO3;400
7;Shoot;0;KNO3;400
8;Shoot;0;KNO3;400
9;Shoot;0;KNO3;400
10;Shoot;0;KNO3;400
11;Shoot;0;KNO3;400
12;Shoot;0;KNO3;400
13;Shoot;0;KNO3;400
14;Shoot;0;KNO3;400
15;Shoot;0;KNO3;400
16;Shoot;0;KNO3;400
17;Shoot;0;KNO3;400
18;Shoot;0;KNO3;400
19;Shoot;0;KNO3;400
20;Shoot;0;KNO3;400
21;Shoot;0;Mix;400
22;Shoot;0;Mix;400
23;Shoot;0;Mix;400
24;Shoot;0;Mix;400
25;Shoot;0;Mix;400
26;Shoot;0;Mix;400
27;Shoot;0;Mix;400
28;Shoot;0;Mix;400
29;Shoot;0;Mix;400
30;Shoot;0;Mix;400
31;Shoot;0;Mix;400
32;Shoot;0;Mix;400
33;Shoot;0;Mix;400
34;Shoot;0;Mix;400
35;Shoot;0;Mix;400
36;Shoot;0;Mix;400
37;Shoot;0;Mix;400
38;Shoot;0;Mix;400
39;Shoot;0;Mix;400
40;Shoot;0;Mix;400
41;Shoot;0;KNO3;525
42;Shoot;0;KNO3;525
43;Shoot;0;KNO3;525
44;Shoot;0;KNO3;525
45;Shoot;0;KNO3;525
46;Shoot;0;KNO3;525
47;Shoot;0;KNO3;525
48;Shoot;0;KNO3;525
49;Shoot;0;KNO3;525
50;Shoot;0;KNO3;525
51;Shoot;0;KNO3;525
52;Shoot;0;KNO3;525
53;Shoot;0;KNO3;525
54;Shoot;0;KNO3;525
55;Shoot;0;KNO3;525
56;Shoot;0;KNO3;525
57;Shoot;0;KNO3;525
58;Shoot;0;KNO3;525
59;Shoot;0;KNO3;525
60;Shoot;0;KNO3;525
61;Shoot;0;Mix;525
62;Shoot;0;Mix;525
63;Shoot;0;Mix;525
64;Shoot;0;Mix;525
65;Shoot;0;Mix;525
66;Shoot;0;Mix;525
67;Shoot;0;Mix;525
68;Shoot;0;Mix;525
69;Shoot;0;Mix;525
70;Shoot;0;Mix;525
71;Shoot;0;Mix;525
72;Shoot;0;Mix;525
73;Shoot;0;Mix;525
74;Shoot;0;Mix;525
75;Shoot;0;Mix;525
76;Shoot;0;Mix;525
77;Shoot;0;Mix;525
78;Shoot;0;Mix;525
79;Shoot;0;Mix;525
80;Shoot;0;Mix;525
81;Shoot;0;KNO3;650
82;Shoot;0;KNO3;650
83;Shoot;0;KNO3;650
84;Shoot;0;KNO3;650
85;Shoot;0;KNO3;650
86;Shoot;0;KNO3;650
87;Shoot;0;KNO3;650
88;Shoot;0;KNO3;650
89;Shoot;0;KNO3;650
90;Shoot;0;KNO3;650
91;Shoot;0;KNO3;650
92;Shoot;0;KNO3;650
93;Shoot;0;KNO3;650
94;Shoot;0;KNO3;650
95;Shoot;0;KNO3;650
96;Shoot;0;KNO3;650
97;Shoot;0;KNO3;650
98;Shoot;0;KNO3;650
99;Shoot;0;KNO3;650
100;Shoot;0;KNO3;650
101;Shoot;0;Mix;650
102;Shoot;0;Mix;650
103;Shoot;0;Mix;650
104;Shoot;0;Mix;650
105;Shoot;0;Mix;650
106;Shoot;0;Mix;650
107;Shoot;0;Mix;650
108;Shoot;0;Mix;650
109;Shoot;0;Mix;650
110;Shoot;0;Mix;650
111;Shoot;0;Mix;650
112;Shoot;0;Mix;650
113;Shoot;0;Mix;650
114;Shoot;0;Mix;650
115;Shoot;0;Mix;650
116;Shoot;0;Mix;650
117;Shoot;0;Mix;650
118;Shoot;0;Mix;650
119;Shoot;0;Mix;650
120;Shoot;0;Mix;650
121;Shoot;0;KNO3;775
122;Shoot;0;KNO3;775
123;Shoot;0;KNO3;775
124;Shoot;0;KNO3;775
125;Shoot;0;KNO3;775
126;Shoot;0;KNO3;775
127;Shoot;0;KNO3;775
128;Shoot;0;KNO3;775
129;Shoot;0;KNO3;775
130;Shoot;0;KNO3;775
131;Shoot;0;KNO3;775
132;Shoot;0;KNO3;775
133;Shoot;0;KNO3;775
134;Shoot;0;KNO3;775
135;Shoot;0;KNO3;775
136;Shoot;0;KNO3;775
137;Shoot;0;KNO3;775
138;Shoot;0;KNO3;775
139;Shoot;0;KNO3;775
140;Shoot;0;KNO3;775
141;Shoot;0;Mix;775
142;Shoot;0;Mix;775
143;Shoot;0;Mix;775
144;Shoot;0;Mix;775
145;Shoot;0;Mix;775
146;Shoot;0;Mix;775
147;Shoot;0;Mix;775
148;Shoot;0;Mix;775
149;Shoot;0;Mix;775
150;Shoot;0;Mix;775
151;Shoot;0;Mix;775
152;Shoot;0;Mix;775
153;Shoot;0;Mix;775
154;Shoot;0;Mix;775
155;Shoot;0;Mix;775
156;Shoot;0;Mix;775
157;Shoot;0;Mix;775
158;Shoot;0;Mix;775
159;Shoot;0;Mix;775
160;Shoot;0;Mix;775
161;Shoot;0;KNO3;900
162;Shoot;0;KNO3;900
163;Shoot;0;KNO3;900
164;Shoot;0;KNO3;900
165;Shoot;0;KNO3;900
166;Shoot;0;KNO3;900
167;Shoot;0;KNO3;900
168;Shoot;0;KNO3;900
169;Shoot;0;KNO3;900
170;Shoot;0;KNO3;900
171;Shoot;0;KNO3;900
172;Shoot;0;KNO3;900
173;Shoot;0;KNO3;900
174;Shoot;0;KNO3;900
175;Shoot;0;KNO3;900
176;Shoot;0;KNO3;900
177;Shoot;0;KNO3;900
178;Shoot;0;KNO3;900
179;Shoot;0;KNO3;900
180;Shoot;0;KNO3;900
181;Shoot;0;Mix;900
182;Shoot;0;Mix;900
183;Shoot;0;Mix;900
184;Shoot;0;Mix;900
185;Shoot;0;Mix;900
186;Shoot;0;Mix;900
187;Shoot;0;Mix;900
188;Shoot;0;Mix;900
189;Shoot;0;Mix;900
190;Shoot;0;Mix;900
191;Shoot;0;Mix;900
192;Shoot;0;Mix;900
193;Shoot;0;Mix;900
194;Shoot;0;Mix;900
195;Shoot;0;Mix;900
196;Shoot;0;Mix;900
197;Shoot;0;Mix;900
198;Shoot;0;Mix;900
199;Shoot;0;Mix;900
200;Shoot;0;Mix;900
201;Shoot;1;Mix;400
202;Shoot;1;Mix;400
203;Shoot;1;Mix;400
204;Shoot;1;Mix;400
205;Shoot;1;KNO3;400
206;Shoot;1;KNO3;400
207;Shoot;1;KNO3;400
208;Shoot;1;KNO3;400
209;Shoot;1;Mix;525
210;Shoot;1;Mix;525
211;Shoot;1;Mix;525
212;Shoot;1;Mix;525
213;Shoot;1;KNO3;525
214;Shoot;1;KNO3;525
215;Shoot;1;KNO3;525
216;Shoot;1;KNO3;525
217;Shoot;1;Mix;650
218;Shoot;1;Mix;650
219;Shoot;1;Mix;650
220;Shoot;1;Mix;650
221;Shoot;1;KNO3;650
222;Shoot;1;KNO3;650
223;Shoot;1;KNO3;650
224;Shoot;1;KNO3;650
225;Shoot;1;Mix;775
226;Shoot;1;Mix;775
227;Shoot;1;Mix;775
228;Shoot;1;Mix;775
229;Shoot;1;KNO3;775
230;Shoot;1;KNO3;775
231;Shoot;1;KNO3;775
232;Shoot;1;KNO3;775
233;Shoot;1;Mix;900
234;Shoot;1;Mix;900
235;Shoot;1;Mix;900
236;Shoot;1;Mix;900
237;Shoot;1;KNO3;900
238;Shoot;1;KNO3;900
239;Shoot;1;KNO3;900
240;Shoot;1;KNO3;900
241;Root;1;Mix;400
242;Root;1;Mix;400
243;Root;1;Mix;400
244;Root;1;Mix;400
245;Root;1;KNO3;400
246;Root;1;KNO3;400
247;Root;1;KNO3;400
248;Root;1;KNO3;400
249;Root;1;Mix;525
250;Root;1;Mix;525
251;Root;1;Mix;525
252;Root;1;Mix;525
253;Root;1;KNO3;525
254;Root;1;KNO3;525
255;Root;1;KNO3;525
256;Root;1;KNO3;525
257;Root;1;Mix;650
258;Root;1;Mix;650
259;Root;1;Mix;650
260;Root;1;Mix;650
261;Root;1;KNO3;650
262;Root;1;KNO3;650
263;Root;1;KNO3;650
264;Root;1;KNO3;650
265;Root;1;Mix;775
266;Root;1;Mix;775
267;Root;1;Mix;775
268;Root;1;Mix;775
269;Root;1;KNO3;775
270;Root;1;KNO3;775
271;Root;1;KNO3;775
272;Root;1;KNO3;775
273;Root;1;Mix;900
274;Root;1;Mix;900
275;Root;1;Mix;900
276;Root;1;Mix;900
277;Root;1;KNO3;900
278;Root;1;KNO3;900
279;Root;1;KNO3;900
280;Root;1;KNO3;900